full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name_gaia,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
(2000 PN8),3092269,True,False,1.25,0.217,22.4,0.981,1.52,512.0,0.703,59.3,22.04,,,,,,,2000 PN8,0.00523494,0.000283843,18.443,1,2000 pn8,2000,2000 PN8
(2012 BB124),3597095,True,True,1.15,0.211,15.8,0.911,1.4,453.0,0.794,299.0,21.1,,,,,,,2012 BB124,0.00290486,0.000160479,18.1012,1,2012 bb124,2012,2012 BB124
(2011 EP51),3559843,True,False,0.829,0.308,3.43,0.574,1.08,276.0,1.31,31.9,25.2,,,,,,,2011 EP51,-0.0168164,0.000962054,17.4797,1,2011 ep51,2011,2011 EP51
(2003 YL118),3170231,True,True,1.13,0.486,7.61,0.581,1.68,439.0,0.819,133.0,21.6,,,,,,,2003 YL118,-0.00905692,0.000542347,16.6995,1,2003 yl118,2003,2003 YL118
827991 (2002 XQ40),20827991,True,False,1.08,0.351,2.19,0.698,1.45,407.0,0.884,272.0,22.4,,,,,,,2002 XQ40,-0.00462836,0.000278696,16.6072,1,2002 xq40,2002,2002 XQ40
(2009 WB105),3479013,True,False,0.826,0.253,38.4,0.617,1.03,274.0,1.31,315.0,23.5,,,,,,,2009 WB105,0.00688506,0.00042095,16.356,1,2009 wb105,2009,2009 WB105
364136 (2006 CJ),20364136,True,True,0.677,0.755,10.2,0.166,1.19,203.0,1.77,16.9,20.19,,,,,,,364136,-0.00367582,0.000225559,16.2965,1,364136,364136,364136
138175 (2000 EE104),20138175,True,True,1.0,0.293,5.23,0.709,1.3,367.0,0.98,84.8,20.49,,,13.324,,,,138175,-0.00446822,0.00027614,16.181,1,138175,138175,138175
(2012 GA5),3602525,True,False,1.14,0.0665,7.3,1.07,1.22,446.0,0.807,322.0,24.19,,,,,,,2012 GA5,-0.00430032,0.000269532,15.9548,Rej.,2012 ga5,2012,2012 GA5
(2016 GW221),3752012,True,False,0.828,0.267,3.76,0.607,1.05,275.0,1.31,70.5,24.75,,,0.2856,,,,2016 GW221,-0.00735097,0.000463066,15.8746,1,2016 gw221,2016,2016 GW221
(2007 TF68),3388356,True,False,1.41,0.266,26.2,1.03,1.78,609.0,0.591,271.0,22.62,,,,,,,2007 TF68,-0.00805496,0.000512498,15.7171,1,2007 tf68,2007,2007 TF68
